Model,Accuracy,F1-Score,ROC-AUC
XGBoost,0.9007869778704514,0.7625945597939804,0.8987816567575668
Random Forest,0.8874352592991188,0.7114406414346064,0.8847613258954343
Logistic Regression,0.8032891639200915,0.44247450195405585,0.7644430911168134
